latitude,longitude,brightness,acq_date,confidence,frp
31.6676,6.0559,320.5,2000-11-02,100,35.3
31.6602,6.0571,325.3,2000-11-03,100,57.9
31.6672,6.0504,323.3,2000-11-03,100,51.7
35.8147,-0.2731,332.7,2000-11-03,100,37.0
31.6677,6.0573,326.0,2000-11-05,100,33.7
31.6671,6.0519,324.7,2000-11-07,100,24.8
31.6617,6.0678,346.5,2000-11-10,100,188.0
31.6597,6.044,347.9,2000-11-10,100,195.1
31.6704,6.0555,323.7,2000-11-11,100,57.4
28.4175,7.5437,333.1,2000-11-14,100,41.0
29.6945,6.701,321.7,2000-11-14,100,24.1
30.4079,6.538,321.7,2000-11-14,100,24.3
31.6658,6.054,327.6,2000-11-14,100,30.7
30.4056,6.5382,325.6,2000-11-16,100,28.5
31.6603,6.0555,325.5,2000-11-16,100,28.9
29.7048,6.7052,321.3,2000-11-18,100,40.8
31.669,6.0538,332.8,2000-11-19,100,86.6
30.4105,6.5374,322.6,2000-11-23,100,24.7
29.7538,6.7413,320.5,2000-11-25,100,27.8
35.8107,-0.2619,323.1,2000-11-26,100,26.3
28.9153,9.7433,329.2,2000-11-27,100,44.4
31.6925,5.811,321.4,2000-11-28,100,37.0
32.5558,3.1651,324.7,2000-11-28,100,28.9
30.4112,6.536,324.2,2000-12-07,100,33.9
30.4095,6.5391,322.2,2000-12-11,100,30.9
33.131,3.3242,325.5,2000-12-23,100,28.9
33.1295,3.3135,333.6,2000-12-23,100,39.3
29.6902,6.6977,324.8,2000-12-25,100,26.3
31.6629,6.0625,325.8,2000-12-25,100,27.1
31.6614,6.0521,325.5,2000-12-25,100,26.7
29.7562,6.7428,323.2,2000-12-27,100,32.0
35.8102,-0.2613,321.7,2000-12-30,100,22.2
28.9112,9.7436,326.9,2000-12-31,100,77.8
31.2315,8.5644,328.1,2000-12-31,100,91.1
-15.9235,21.1968,361.0,2000-11-04,100,69.1
-15.5719,14.745,377.9,2000-11-05,100,149.3
-13.0752,21.2326,375.1,2000-11-09,100,145.7
-13.7253,13.5446,381.0,2000-11-12,100,169.6
-14.4652,21.8391,372.2,2000-11-18,100,119.1
-14.6435,20.2696,406.7,2000-11-18,100,278.0
-14.9681,20.6639,363.7,2000-11-18,100,81.0
-15.5748,18.5098,364.8,2000-11-18,100,80.8
-15.584,18.5083,361.5,2000-11-18,100,69.1
-17.0077,20.583,364.1,2000-11-18,100,76.8
-17.3437,21.1434,372.0,2000-11-18,100,105.6
-17.3529,21.142,360.2,2000-11-18,100,65.0
-16.9764,16.7647,366.4,2000-11-18,100,109.3
